"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Sensitivity to aminoacid analogs and other drugs","PS00216","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Sensitivity to aminoacid analogs and other drugs","PS00216","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00216","4","METABOLISM","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Cell morphology and organelle mutants","PS00216","4","TRANSPORT FACILITATION","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Cell morphology and organelle mutants","PS00217","4","CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle)","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00217","4","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00217","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00217","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00217","4","METABOLISM","plasma membrane."
"G234227","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00217","4","TRANSPORT FACILITATION","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Auxotrophies, carbon and","PS00218","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00218","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00218","4","METABOLISM","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00218","4","TRANSPORT FACILITATION","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Auxotrophies, carbon and","PS00225","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00225","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00225","4","METABOLISM","plasma membrane."
"G234229","Non-Essential","Major facilitator superfamily proteins (MFS)","2-oxoglutarate dehydrogenase","Auxotrophies, carbon and","PS00225","4","TRANSPORT FACILITATION","plasma membrane."
"G234232","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00018","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234234","Essential","GTPase activating proteins (GAPs)","Prenyltransferases","Conditional phenotypes","PS00976","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234234","Essential","GTPase activating proteins (GAPs)","Exocyst complex","Conditional phenotypes","PS00976","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234234","Essential","GTPase activating proteins (GAPs)","Exocyst complex","Conditional phenotypes","PS00107","4","TRANSCRIPTION","cytoplasm."
"G234234","Essential","GTPase activating proteins (GAPs)","Alpha, alpha-trehalose-phosphate synthase","Mating and sporulation defects","PS00107","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234234","Essential","GTPase activating proteins (GAPs)","Alpha, alpha-trehalose-phosphate synthase","Mating and sporulation defects","PS00741","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234234","Essential","GTPase activating proteins (GAPs)","Alpha, alpha-trehalose-phosphate synthase","Mating and sporulation defects","PS00741","4","TRANSCRIPTION","cytoplasm."
"G234235","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00027","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234235","Non-Essential","Transcription factors","Nuclear pore complex (NPC)","Carbohydrate and lipid biosynthesis defects","PS00027","4","TRANSCRIPTION","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00014","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00216","4","METABOLISM","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Auxotrophies, carbon and","PS00046","4","TRANSCRIPTION","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00322","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00038","4","METABOLISM","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Cell morphology and organelle mutants","PS00959","4","TRANSCRIPTION","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Conditional phenotypes","PS00463","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Conditional phenotypes","PS00463","4","METABOLISM","nucleus."
"G234240","Non-Essential","Protein phosphatases","Serine/threonine phoshpoprotein phosphatase","Conditional phenotypes","PS00014","4","TRANSCRIPTION","nucleus."
"G234248","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Conditional phenotypes","PS01175","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234248","Non-Essential","Ubiquitin-system proteins","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS01175","4","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234248","Non-Essential","Ubiquitin-system proteins","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00018","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234248","Non-Essential","Ubiquitin-system proteins","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00301","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234248","Non-Essential","Ubiquitin-system proteins","Prenyltransferases","Conditional phenotypes","PS01175","4","PROTEIN DESTINATION","cytoplasm."
"G234259","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234259","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00017","4","METABOLISM","nucleus."
"G234259","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00017","4","TRANSCRIPTION","nucleus."
"G234259","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell cycle defects","PS00027","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234259","Non-Essential","Transcription factors","Synaptonemal complex (SC)","Cell cycle defects","PS00028","4","METABOLISM","nucleus."
"G234259","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","4","TRANSCRIPTION","nucleus."
"G234259","Non-Essential","Transcription factors","Histone acetyltransferase complexes","Mating and sporulation defects","PS00027","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234259","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00017","4","METABOLISM","nucleus."
"G234259","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","4","TRANSCRIPTION","nucleus."
"G234263","Non-Essential","Transcription factors","RNA processing complexes","Cell cycle defects","PS00028","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234263","Non-Essential","Transcription factors","RNA processing complexes","Conditional phenotypes","PS00028","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234263","Non-Essential","Transcription factors","RNA processing complexes","Mating and sporulation defects","PS00028","4","TRANSCRIPTION","nucleus."
"G234265","Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234265","Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00685","4","TRANSCRIPTION","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00017","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00017","4","METABOLISM","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00017","4","TRANSCRIPTION","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00463","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00463","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00463","4","METABOLISM","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00463","4","TRANSCRIPTION","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00017","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00017","4","METABOLISM","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00017","4","TRANSCRIPTION","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","4","METABOLISM","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","4","TRANSCRIPTION","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","4","METABOLISM","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","4","TRANSCRIPTION","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00463","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00463","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00463","4","METABOLISM","nucleus."
"G234270","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00463","4","TRANSCRIPTION","nucleus."
"G234271","Essential","Other kinases","Intracellular transport complexes","Cell morphology and organelle mutants","PS01132","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","plasma membrane."
"G234271","Essential","Other kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00216","4","CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle)","plasma membrane."
"G234271","Essential","Other kinases","Exocyst complex","Cell morphology and organelle mutants","PS00216","4","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","plasma membrane."
"G234271","Essential","Other kinases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00014","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234271","Essential","Other kinases","Intracellular transport complexes","Cell morphology and organelle mutants","PS01132","4","METABOLISM","plasma membrane."
"G234275","Non-Essential","Transcription factors","RNA processing complexes","Conditional phenotypes","PS00028","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234275","Non-Essential","Transcription factors","RNA processing complexes","Cell cycle defects","PS00028","4","METABOLISM","nucleus."
"G234275","Non-Essential","Transcription factors","RNA processing complexes","Mating and sporulation defects","PS00028","4","TRANSCRIPTION","nucleus."
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00357","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00357","4","TRANSCRIPTION","nucleus."
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00357","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234276","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00357","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00014","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00014","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00046","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00046","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00014","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00014","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00046","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00046","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00014","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00014","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00046","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00046","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00014","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00014","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00046","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Mating and sporulation defects","PS00046","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00014","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00014","4","TRANSCRIPTION","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00046","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234277","Non-Essential","Histones","Nucleosomal protein complex","Sensitivity to aminoacid analogs and other drugs","PS00046","4","TRANSCRIPTION","nucleus."
"G234285","Non-Essential","GTP-binding proteins","Translocon","Auxotrophies, carbon and","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","ER."
"G234285","Non-Essential","GTP-binding proteins","Translocon","Auxotrophies, carbon and","PS00017","4","PROTEIN DESTINATION","ER."
"G234285","Non-Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00300","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","ER."
"G234285","Non-Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00300","4","PROTEIN DESTINATION","ER."
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","mitochondria."
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","mitochondria."
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389","4","ENERGY","mitochondria."
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389","4","IONIC HOMEOSTASIS","mitochondria."
"G234286","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389","4","TRANSPORT FACILITATION","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","4","ENERGY","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389","4","PROTEIN DESTINATION","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00389","4","TRANSPORT FACILITATION","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","PS00152","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","PS00017","4","ENERGY","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","PS00389","4","PROTEIN DESTINATION","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Cell morphology and organelle mutants","PS00017","4","TRANSPORT FACILITATION","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","PS00152","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","PS00152","4","ENERGY","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","PS00389","4","PROTEIN DESTINATION","mitochondria."
"G234290","Non-Essential","ATPases","Respiration chain complexes","Conditional phenotypes","PS00389","4","TRANSPORT FACILITATION","mitochondria."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Nucleosomal protein complex","Auxotrophies, carbon and","PS00216","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Respiration chain complexes","Auxotrophies, carbon and","PS00216","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Glucan synthases","Auxotrophies, carbon and","PS00216","4","METABOLISM","plasma membrane."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Respiration chain complexes","Auxotrophies, carbon and","PS00216","4","TRANSPORT FACILITATION","plasma membrane."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00217","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Respiration chain complexes","Auxotrophies, carbon and","PS00217","4","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Glucan synthases","Auxotrophies, carbon and","PS00217","4","METABOLISM","plasma membrane."
"G234293","Non-Essential","Major facilitator superfamily proteins (MFS)","Respiration chain complexes","Auxotrophies, carbon and","PS00217","4","TRANSPORT FACILITATION","plasma membrane."
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","Sensitivity to antibiotics","PS00017","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00017","4","PROTEIN SYNTHESIS","cytoplasm."
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00301","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234296","Non-Essential","GTP-binding proteins","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00301","4","PROTEIN SYNTHESIS","cytoplasm."
"G234300","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00141","4","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","nucleus."
"G234300","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00107","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234300","Essential","Polymerases","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00446","4","TRANSCRIPTION","nucleus."
"G234312","Non-Essential","Transcription factors","RNA processing complexes","Conditional phenotypes","PS00028","4","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234312","Non-Essential","Transcription factors","RNA processing complexes","Mating and sporulation defects","PS00028","4","TRANSCRIPTION","nucleus."
"G234317","Non-Essential","Protein Kinases","Cytoskeleton","Cell cycle defects","PS00019","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoskeleton."
"G234317","Non-Essential","Protein Kinases","Cytoskeleton","Cell morphology and organelle mutants","PS00017","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoskeleton."
"G234317","Non-Essential","Protein Kinases","Cytoskeleton","Conditional phenotypes","PS00017","4","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoskeleton."
"G234323","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00036","5","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234323","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00036","5","METABOLISM","nucleus."
"G234323","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00036","5","TRANSCRIPTION","nucleus."
"G234326","Non-Essential","GTP/GDP-exchange factors (GEFs)","Cytoskeleton","Sensitivity to antibiotics","PS00017","5","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","golgi."
"G234326","Non-Essential","GTP/GDP-exchange factors (GEFs)","Intracellular transport complexes","Conditional phenotypes","PS00675","5","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","golgi."
"G234330","Essential","ATPases","Replication complexes","Cell cycle defects","PS00847","5","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234330","Essential","ATPases","Replication complexes","Cell cycle defects","PS00847","5","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234330","Essential","ATPases","Replication complexes","Nucleic acid metabolism defects","PS00847","5","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234330","Essential","ATPases","Replication complexes","Nucleic acid metabolism defects","PS00847","5","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234334","Non-Essential","Motorproteins","Cytoskeleton","Cell cycle defects","PS00017","5","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234334","Non-Essential","Motorproteins","Cytoskeleton","Cell cycle defects","PS00017","5","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234334","Non-Essential","Motorproteins","Cytoskeleton","Cell cycle defects","PS00017","5","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","nucleus."
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00115","5","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00190","5","TRANSCRIPTION","nucleus."
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00351","5","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234341","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00108","5","TRANSCRIPTION","nucleus."
