"V1","V2","V3","V4","V5","V6","V7","V9"
"G235685","Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00350","13","?."
"G235311","Ambiguous-Essential","Ubiquitin-system proteins","RNA processing complexes","Cell morphology and organelle mutants","PS00690","5","?."
"G234470","Ambiguous-Essential","Major facilitator superfamily proteins (MFS)","Nuclear pore complex (NPC)","Stress response defects","PS00218","7","?."
"G235783","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","14","?."
"G235595","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00017","4","?."
"G234773","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","13","?."
"G235770","Non-Essential","Polymerases","Gim complexes","Cell morphology and organelle mutants","PS00294","14","?."
"G234385","Non-Essential","Molecular chaperones","RNA processing complexes","Conditional phenotypes","PS00637","6","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00972","4","?."
"G237700","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","15","?."
"G237587","Ambiguous-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00174","2","?."
"G234394","Essential","Actins","Cytoskeleton","Conditional phenotypes","PS00406","6","?."
"G236099","Essential","Transcription factors","Anaphase promoting complex (APC)","Cell cycle defects","PS00017","7","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","16","?."
"G235220","Essential","Molecular chaperones","Intracellular transport complexes","Cell morphology and organelle mutants","PS00402","4","?."
"G237429","Non-Essential","Ubiquitin-system proteins","Translocon","Cell morphology and organelle mutants","PS00633","13","?."
"G237116","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00028","8","?."
"G234247","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell morphology and organelle mutants","PS00865","4","?."
"G235794","Non-Essential","Cyclins","Histone deacetylase complexes","Sensitivity to aminoacid analogs and other drugs","PS00294","14","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","16","?."
"G234203","Essential","Polymerases","Replication complexes","Conditional phenotypes","PS00116","4","?."
"G235476","Essential","Polymerases","Anaphase promoting complex (APC)","Conditional phenotypes","PS01166","8","?."
"G235405","Non-Essential","Transcription factors","RNA processing complexes","Conditional phenotypes","PS00866","7","?."
"G235567","Essential","Cyclins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","11","?."
"G235538","Essential","Polymerases","Replication complexes","Nucleic acid metabolism defects","PS00116","10","?."
"G235547","Non-Essential","Actin related proteins","Cytoskeleton","Cell morphology and organelle mutants","PS01132","10","?."
"G235098","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Stress response defects","PS00028","1","?."
"G237375","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00402","7","?."
"G235121","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","2","?."
"G234365","Essential","Ubiquitin-system proteins","RNA processing complexes","Conditional phenotypes","PS00499","5","?."
"G237587","Ambiguous-Essential","Molecular chaperones","Proteases, mitochondrial","Auxotrophies, carbon and","PS00765","2","?."
"G235761","Non-Essential","Polymerases","Cytoskeleton","Cell morphology and organelle mutants","PS01132","14","?."
"G235466","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00120","11","?."
"G235612","Non-Essential","Protein phosphatases","Histone acetyltransferase complexes","Nucleic acid metabolism defects","PS00633","12","?."
"G238800","Non-Essential","GTP-binding proteins","Translocon","Auxotrophies, carbon and","PS00599","4","?."
"G234992","Non-Essential","Major facilitator superfamily proteins (MFS)","Proteasome","Conditional phenotypes","PS00218","15","?."
"G239938","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","13","?."
"G234612","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00038","10","?."
"G234615","Essential","Actin related proteins","Intracellular transport complexes","Stress response defects","PS01132","10","?."
"G234419","Essential","Transcription factors","Replication complexes","Conditional phenotypes","PS00017","7","?."
"G234565","Essential","Proteases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00761","9","?."
"G234433","Non-Essential","Protein Kinases","Hexokinase 2","Stress response defects","PS00107","7","?."
"G235638","Non-Essential","Adaptins","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","12","?."
"G234081","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00357","2","?."
"G234372","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00028","5","?."
"G235488","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Stress response defects","PS00678","9","?."
"G234365","Essential","Ubiquitin-system proteins","Mitochondrial translocase complex","Cell morphology and organelle mutants","PS00499","5","?."
"G235149","Essential","Polymerases","RNA processing complexes","Conditional phenotypes","PS00017","2","?."
"G235848","Essential","Transcription factors","Replication complexes","Cell cycle defects","PS00017","15","?."
"G234704","Non-Essential","Ubiquitin-system proteins","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00299","12","?."
"G235888","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00017","16","?."
"G238615","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00028","8","?."
"G234314","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00108","4","?."
"G238132","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00038","16","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Nucleic acid metabolism defects","PS00501","13","?."
"G238856","Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00017","10","?."
"G234385","Non-Essential","Molecular chaperones","Intracellular transport complexes","Conditional phenotypes","PS00190","6","?."
"G234802","Non-Essential","ATPases","Nonsense-mediated mRNA decay pathway complex","Sensitivity to aminoacid analogs and other drugs","PS00017","13","?."
"G235402","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","7","?."
"G235183","Non-Essential","Tubulins","Cytoskeleton","Mating and sporulation defects","PS00227","14","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Conditional phenotypes","PS00017","4","?."
"G234515","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","8","?."
"G235150","Non-Essential","Transcription factors","Translocon","Mating and sporulation defects","PS00463","2","?."
"G235778","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","14","?."
"G237728","Non-Essential","Transcription factors","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","7","?."
"G236523","Non-Essential","Ubiquitin-system proteins","Proteasome","Cell cycle defects","PS00633","12","?."
"G236066","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00951","2","?."
"G239830","Essential","GTP-binding proteins","RNA processing complexes","Conditional phenotypes","PS00037","12","?."
"G234189","Non-Essential","Transcription factors","Translation complexes","Cell morphology and organelle mutants","PS00017","3","?."
"G235538","Essential","Ubiquitin-system proteins","Replication complexes","Cell cycle defects","PS00434","10","?."
"G234573","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00297","10","?."
"G235268","Essential","Ubiquitin-system proteins","Kinetochore protein complexes","Cell cycle defects","PS00183","4","?."
"G234203","Essential","Polymerases","Replication complexes","Nucleic acid metabolism defects","PS00116","4","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Mating and sporulation defects","PS01019","4","?."
"G234433","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Stress response defects","PS00108","7","?."
"G234977","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Cell morphology and organelle mutants","PS00017","15","?."
"G234728","Ambiguous-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00190","12","?."
"G238048","Non-Essential","Molecular chaperones","Respiration chain complexes","Auxotrophies, carbon and","PS01184","6","?."
"G235069","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00446","2","?."
"G235319","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","5","?."
"G235220","Essential","Ubiquitin-system proteins","Intracellular transport complexes","Cell morphology and organelle mutants","PS00678","4","?."
"G234412","Non-Essential","Transcription factors","Intracellular transport complexes","Nucleic acid metabolism defects","PS00028","7","?."
"G240462","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00187","12","?."
"G234249","Non-Essential","Ubiquitin-system proteins","Proteasome","Cell cycle defects","PS00973","4","?."
"G235565","Essential","ATPases","Sister chromatid cohesion regulation complex","Cell cycle defects","PS00211","6","?."
"G234394","Essential","Actins","Cytoskeleton","Conditional phenotypes","PS00432","6","?."
"G235208","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00017","4","?."
"G238723","Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00434","7","?."
"G234741","Essential","Molecular chaperones","Translocon","Conditional phenotypes","PS00296","12","?."
"G235875","Non-Essential","GTP/GDP-exchange factors (GEFs)","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","16","?."
"G235795","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00294","14","?."
"G235770","Non-Essential","Cyclins","Gim complexes","Mating and sporulation defects","PS00108","14","?."
"G237986","Non-Essential","Transcription factors","Translation complexes","Conditional phenotypes","PS00017","3","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","16","?."
"G235353","Essential","Molecular chaperones","Intracellular transport complexes","Cell morphology and organelle mutants","PS00678","6","?."
"G235888","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00108","16","?."
"G235761","Non-Essential","Cyclins","Cytoskeleton","Mating and sporulation defects","PS00227","14","?."
"G239938","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","13","?."
"G235325","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00028","5","?."
"G234847","Non-Essential","Polymerases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","14","?."
"G235352","Essential","ATPases","Proteasome","Cell cycle defects","PS00854","6","?."
"G239593","Non-Essential","GTP-binding proteins","Translation complexes","Auxotrophies, carbon and","PS00927","4","?."
"G235893","Non-Essential","Cyclins","RNA processing complexes","Cell cycle defects","PS00108","16","?."
"G234385","Non-Essential","Molecular chaperones","Respiration chain complexes","Auxotrophies, carbon and","PS00190","6","?."
"G237587","Ambiguous-Essential","Molecular chaperones","Proteases, mitochondrial","Auxotrophies, carbon and","PS00765","2","?."
"G236831","Non-Essential","Transcription factors","Translocon","Conditional phenotypes","PS00028","4","?."
"G235454","Essential","Ubiquitin-system proteins","Mitochondrial translocase complex","Cell morphology and organelle mutants","PS01159","8","?."
"G234189","Non-Essential","Transcription factors","Translation complexes","Cell morphology and organelle mutants","PS00017","3","?."
"G235299","Non-Essential","Ubiquitin-system proteins","Respiration chain complexes","Auxotrophies, carbon and","PS00633","4","?."
"G235098","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","1","?."
"G234534","Essential","Molecular chaperones","Mitochondrial translocase complex","Cell morphology and organelle mutants","PS00017","9","?."
"G235446","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00991","8","?."
"G235033","Essential","Protein Kinases","Casein kinase","Nucleic acid metabolism defects","PS00108","16","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","16","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Stress response defects","PS01019","4","?."
"G235638","Non-Essential","Cyclins","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","12","?."
"G237436","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00680","12","?."
"G234565","Essential","Proteases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00501","9","?."
"G235424","Non-Essential","Transcription factors","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","7","?."
"G234521","Non-Essential","Actin related proteins","Cytoskeleton","Cell morphology and organelle mutants","PS01132","8","?."
"G237392","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00867","7","?."
"G235804","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","15","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00973","4","?."
"G234423","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00626","7","?."
"G236523","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","12","?."
"G234273","Essential","Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes","PS00750","4","?."
"G234226","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Mating and sporulation defects","PS00017","4","?."
"G234701","Non-Essential","Molecular chaperones","Intracellular transport complexes","Conditional phenotypes","PS00871","12","?."
"G234780","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","13","?."
"G234203","Essential","Polymerases","Replication complexes","Cell cycle defects","PS00116","4","?."
"G234267","Essential","GTP-binding proteins","Translation complexes","Auxotrophies, carbon and","PS00017","4","?."
"G234414","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00687","7","?."
"G234405","Essential","ATPases","Kinetochore protein complexes","Cell cycle defects","PS00211","4","?."
"G234940","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00599","15","?."
"G234365","Essential","Ubiquitin-system proteins","RNA processing complexes","Conditional phenotypes","PS00499","5","?."
"G235794","Non-Essential","Cyclins","Histone deacetylase complexes","Sensitivity to aminoacid analogs and other drugs","PS00294","14","?."
"G240462","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00463","12","?."
"G235767","Essential","Polymerases","Mitochondrial translocase complex","Conditional phenotypes","PS01166","14","?."
"G235488","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Stress response defects","PS00678","9","?."
"G235917","Non-Essential","GTP-binding proteins","RNA processing complexes","Conditional phenotypes","PS00017","13","?."
"G234612","Non-Essential","Transcription factors","Kinetochore protein complexes","Cell morphology and organelle mutants","PS00038","10","?."
"G234433","Non-Essential","Protein Kinases","Hexokinase 2","Stress response defects","PS00107","7","?."
"G235319","Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","5","?."
"G234790","Non-Essential","Ubiquitin-system proteins","Proteases, mitochondrial","Stress response defects","PS00183","13","?."
"G234273","Essential","Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes","PS00750","4","?."
"G235414","Essential","ATPases","Sister chromatid cohesion regulation complex","Cell cycle defects","PS00211","6","?."
"G234442","Non-Essential","Motorproteins","Cytoskeleton","Conditional phenotypes","PS00017","7","?."
"G234175","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00736","3","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","16","?."
"G235602","Essential","Nucleases","RNA processing complexes","Nucleic acid metabolism defects","PS00037","12","?."
"G235109","Essential","Polymerases","RNA processing complexes","Conditional phenotypes","PS00017","2","?."
"G234573","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00297","10","?."
"G236279","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00866","7","?."
"G235354","Essential","ATPases","Proteasome","Cell cycle defects","PS00854","6","?."
"G234758","Essential","Major facilitator superfamily proteins (MFS)","Translocon","Conditional phenotypes","PS00755","12","?."
"G234701","Non-Essential","ATPases","Intracellular transport complexes","Conditional phenotypes","PS00870","12","?."
"G236955","Non-Essential","GTP-binding proteins","Translocon","Auxotrophies, carbon and","PS00599","4","?."
"G234785","Non-Essential","Tubulins","Cytoskeleton","Cell morphology and organelle mutants","PS00227","8","?."
"G234433","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Stress response defects","PS00108","7","?."
"G237196","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00720","16","?."
"G234773","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00030","13","?."
"G234847","Non-Essential","Polymerases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","14","?."
"G235367","Essential","Polymerases","Nuclear pore complex (NPC)","Conditional phenotypes","PS01166","7","?."
"G235705","Essential","Ubiquitin-system proteins","Kinetochore protein complexes","Cell cycle defects","PS00211","4","?."
"G240040","Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00014","10","?."
"G235354","Essential","ATPases","Proteasome","Nucleic acid metabolism defects","PS00854","6","?."
"G235305","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00237","5","?."
"G234945","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00190","15","?."
"G235337","Essential","Ubiquitin-system proteins","RNA processing complexes","Conditional phenotypes","PS00012","5","?."
"G234847","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","14","?."
"G234175","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00736","3","?."
"G239681","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00720","12","?."
"G234704","Non-Essential","Ubiquitin-system proteins","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00299","12","?."
"G238905","Non-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Conditional phenotypes","PS00218","2","?."
"G234372","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","5","?."
"G234927","Ambiguous-Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","15","?."
"G235305","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","5","?."
"G234965","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01112","2","?."
"G235569","Non-Essential","Major facilitator superfamily proteins (MFS)","RNA processing complexes","Conditional phenotypes","PS00637","11","?."
"G234333","Non-Essential","Proteases","Proteases, mitochondrial","Auxotrophies, carbon and","PS00136","5","?."
"G234394","Essential","Actins","Cytoskeleton","Cell cycle defects","PS00406","6","?."
"G234298","Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00865","4","?."
"G234199","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell cycle defects","PS00183","4","?."
"G234780","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","13","?."
"G234798","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","13","?."
"G240291","Essential","Other kinases","Exocyst complex","Cell morphology and organelle mutants","PS00017","9","?."
"G235466","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00120","11","?."
"G240072","Non-Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Stress response defects","PS01047","14","?."
"G236838","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00013","12","?."
"G235315","Essential","ATPases","Proteasome","Conditional phenotypes","PS00225","6","?."
"G234385","Non-Essential","Molecular chaperones","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00636","6","?."
"G234267","Essential","GTP-binding proteins","Translation complexes","Auxotrophies, carbon and","PS00301","4","?."
"G238429","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00720","16","?."
"G234147","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G234573","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00297","10","?."
"G235367","Essential","Polymerases","Nuclear pore complex (NPC)","Conditional phenotypes","PS01166","7","?."
"G234490","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00028","8","?."
"G234283","Non-Essential","ATPases","Proteasome","Cell cycle defects","PS01047","4","?."
"G235055","Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00343","16","?."
"G235775","Essential","ATPases","Sister chromatid cohesion regulation complex","Cell cycle defects","PS00211","6","?."
"G234515","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","8","?."
"G237337","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","4","?."
"G236758","Non-Essential","Ubiquitin-system proteins","Translocon","Cell morphology and organelle mutants","PS00633","4","?."
"G234701","Non-Essential","Molecular chaperones","Intracellular transport complexes","Conditional phenotypes","PS00870","12","?."
"G239162","Non-Essential","Molecular chaperones","Intracellular transport complexes","Conditional phenotypes","PS00215","4","?."
"G237406","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00225","13","?."
"G234570","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Conditional phenotypes","PS00108","10","?."
"G234704","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00299","12","?."
"G234442","Non-Essential","Motorproteins","Cytoskeleton","Cell morphology and organelle mutants","PS00017","7","?."
"G234531","Non-Essential","Major facilitator superfamily proteins (MFS)","Translation complexes","Conditional phenotypes","PS00017","9","?."
"G234974","Essential","ATPases","Proteasome","Conditional phenotypes","PS00017","15","?."
"G234394","Essential","Actins","Cytoskeleton","Cell cycle defects","PS00432","6","?."
"G234881","Essential","Polymerases","Replication complexes","Nucleic acid metabolism defects","PS00116","14","?."
"G234743","Non-Essential","Protein phosphatases","Synaptonemal complex (SC)","Nucleic acid metabolism defects","PS00633","12","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Nucleic acid metabolism defects","PS00761","13","?."
"G234249","Non-Essential","Ubiquitin-system proteins","Proteasome","Cell cycle defects","PS00972","4","?."
"G235179","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00626","2","?."
"G235362","Essential","ATPases","RNA processing complexes","Conditional phenotypes","PS00030","15","?."
"G234299","Essential","ATPases","Proteasome","Cell cycle defects","PS00225","4","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","16","?."
"G235605","Essential","ATPases","Cytoskeleton","Cell morphology and organelle mutants","PS00325","12","?."
"G235446","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00991","8","?."
"G234612","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00038","10","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Nucleic acid metabolism defects","PS00501","13","?."
"G239681","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00187","12","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","16","?."
"G234372","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","5","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell morphology and organelle mutants","PS00108","16","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00972","4","?."
"G234365","Essential","Ubiquitin-system proteins","RNA processing complexes","Sensitivity to aminoacid analogs and other drugs","PS01159","5","?."
"G234617","Non-Essential","GTP-binding proteins","Ornithine carbamoyltransferase","Conditional phenotypes","PS00294","10","?."
"G234739","Essential","ATPases","Translation complexes","Sensitivity to antibiotics","PS00017","12","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00973","4","?."
"G237387","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00108","14","?."
"G234411","Essential","ATPases","H+-ATPase, plasma mebrane","Sensitivity to aminoacid analogs and other drugs","PS00154","7","?."
"G235377","Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00678","7","?."
"G236523","Non-Essential","Ubiquitin-system proteins","Transcription complexes/Transcriptosome","Stress response defects","PS00633","12","?."
"G234773","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00030","13","?."
"G235538","Essential","Polymerases","Replication complexes","Nucleic acid metabolism defects","PS00116","10","?."
"G234511","Essential","Nucleases","RNA processing complexes","Nucleic acid metabolism defects","PS00037","12","?."
"G234140","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","2","?."
"G236066","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell morphology and organelle mutants","PS00952","2","?."
"G234394","Essential","Actins","Cytoskeleton","Cell morphology and organelle mutants","PS00406","6","?."
"G235916","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00782","15","?."
"G235855","Non-Essential","Major facilitator superfamily proteins (MFS)","Proteasome","Conditional phenotypes","PS00387","15","?."
"G240407","Non-Essential","Ubiquitin-system proteins","RNA processing complexes","Auxotrophies, carbon and","PS00191","13","?."
"G234573","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00329","10","?."
"G239273","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell cycle defects","PS00183","4","?."
"G236771","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00599","15","?."
"G234728","Ambiguous-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00190","12","?."
"G234485","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Mating and sporulation defects","PS00108","8","?."
"G237100","Non-Essential","GTP-binding proteins","RNA processing complexes","Conditional phenotypes","PS00017","11","?."
"G234573","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00329","10","?."
"G235275","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00154","4","?."
"G235318","Non-Essential","Proteases","Isocitrate lyase","Auxotrophies, carbon and","PS00161","5","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00674","16","?."
"G234790","Non-Essential","Ubiquitin-system proteins","Proteases, mitochondrial","Stress response defects","PS00183","13","?."
"G234573","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00297","10","?."
"G235393","Non-Essential","Protein Kinases","Hexokinase 2","Mating and sporulation defects","PS00378","7","?."
"G235909","Essential","ATPases","Replication complexes","Conditional phenotypes","PS00847","16","?."
"G234314","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","4","?."
